courseID,courseTitle,courseLink
28241, Mathematics Education 3,https://handbook.uts.edu.au/subjects/details/028241.html
28242, Science and Technology Education 1,https://handbook.uts.edu.au/subjects/details/028242.html
28243, Science and Technology Education 2,https://handbook.uts.edu.au/subjects/details/028243.html
28244, Social and Environmental Education 1,https://handbook.uts.edu.au/subjects/details/028244.html
28245, Social and Environmental Education 2,https://handbook.uts.edu.au/subjects/details/028245.html
28246," Personal Development, Health, Physical Education 1: Foundations of Teaching HPE",https://handbook.uts.edu.au/subjects/details/028246.html
28247," Personal Development, Health, Physical Education 2: Curriculum and Pedagogy in HPE",https://handbook.uts.edu.au/subjects/details/028247.html
28248, Creative Arts 1: Visual Art,https://handbook.uts.edu.au/subjects/details/028248.html
28249," Creative Arts 2: Music, Movement and Dance",https://handbook.uts.edu.au/subjects/details/028249.html
28250, English Education 1,https://handbook.uts.edu.au/subjects/details/028250.html
28251, English Education 2,https://handbook.uts.edu.au/subjects/details/028251.html
28252, English Education 3,https://handbook.uts.edu.au/subjects/details/028252.html
28253, TESOL: Methodology,https://handbook.uts.edu.au/subjects/details/028253.html
28255," Reading, Writing and Spelling",https://handbook.uts.edu.au/subjects/details/028255.html
28258, Inclusive Education: Communication,https://handbook.uts.edu.au/subjects/details/028258.html
28259, Mathematics Teaching Methods 1,https://handbook.uts.edu.au/subjects/details/028259.html
28260, Mathematics Teaching Methods 2,https://handbook.uts.edu.au/subjects/details/028260.html
28261, Mathematics Teaching Methods 3,https://handbook.uts.edu.au/subjects/details/028261.html
28262, Mathematics Teaching Methods 4,https://handbook.uts.edu.au/subjects/details/028262.html
28263, Science Teaching Methods 1,https://handbook.uts.edu.au/subjects/details/028263.html
28264, Science Teaching Methods 2,https://handbook.uts.edu.au/subjects/details/028264.html
28265, Science Teaching Methods 3,https://handbook.uts.edu.au/subjects/details/028265.html
28266, Science Teaching Methods 4,https://handbook.uts.edu.au/subjects/details/028266.html
28267," Personal Development, Health and Physical Education Teaching Methods 1",https://handbook.uts.edu.au/subjects/details/028267.html
28268," Personal Development, Health and Physical Education Teaching Methods 2",https://handbook.uts.edu.au/subjects/details/028268.html
28269," Personal Development, Health and Physical Education Teaching Methods 3",https://handbook.uts.edu.au/subjects/details/028269.html
28270," Personal Development, Health and Physical Education Teaching Methods 4",https://handbook.uts.edu.au/subjects/details/028270.html
28271, English Teaching Methods 1,https://handbook.uts.edu.au/subjects/details/028271.html
28272, English Teaching Methods 2,https://handbook.uts.edu.au/subjects/details/028272.html
28273, English Teaching Methods 3,https://handbook.uts.edu.au/subjects/details/028273.html
28274, English Teaching Methods 4,https://handbook.uts.edu.au/subjects/details/028274.html
28277, Social Sciences Teaching Methods 1,https://handbook.uts.edu.au/subjects/details/028277.html
28278, Social Sciences Teaching Methods 2,https://handbook.uts.edu.au/subjects/details/028278.html
28281, Business Studies/Economics Teaching Methods 1,https://handbook.uts.edu.au/subjects/details/028281.html
28282, Business Studies/Economics Teaching Methods 2,https://handbook.uts.edu.au/subjects/details/028282.html
28287, Doing Your Research Project 1,https://handbook.uts.edu.au/subjects/details/028287.html
28288, Doing Your Research Project 2,https://handbook.uts.edu.au/subjects/details/028288.html
28289, Numeracy for Lifelong and Lifewide Learning,https://handbook.uts.edu.au/subjects/details/028289.html
28290," Creative Arts 3: Music, Movement and Dance 2",https://handbook.uts.edu.au/subjects/details/028290.html
28412, Science and Technology Study 2: Science and Technology in Daily Life,https://handbook.uts.edu.au/subjects/details/028412.html
28992, Shaping Meaningful Worlds: Language Texts and Context,https://handbook.uts.edu.au/subjects/details/028992.html
28993, Career Research and Planning,https://handbook.uts.edu.au/subjects/details/028993.html
90001, Foundations of Child and Family Health,https://handbook.uts.edu.au/subjects/details/090001.html
90002, Family and Community Health in Practice,https://handbook.uts.edu.au/subjects/details/090002.html
90003, Growth and Development in the Younger Child (the first 1000 days),https://handbook.uts.edu.au/subjects/details/090003.html
90004, Growth and Development in the Older Child (the preschool years),https://handbook.uts.edu.au/subjects/details/090004.html
90005, Contemporary Women's Health Issues,https://handbook.uts.edu.au/subjects/details/090005.html
90006, Global Perspectives on Sexual and Reproductive Health and Rights,https://handbook.uts.edu.au/subjects/details/090006.html
90007, The Child in the Contemporary World,https://handbook.uts.edu.au/subjects/details/090007.html
90008, An introduction to Reproductive Health,https://handbook.uts.edu.au/subjects/details/090008.html
90009, Therapeutic Communication in Reproductive Health,https://handbook.uts.edu.au/subjects/details/090009.html
90010, Communicable Disease,https://handbook.uts.edu.au/subjects/details/090010.html
90011, Foundations in Public Health,https://handbook.uts.edu.au/subjects/details/090011.html
90012, Fundamentals of Biostatistics,https://handbook.uts.edu.au/subjects/details/090012.html
90013, Fundamentals of Epidemiology,https://handbook.uts.edu.au/subjects/details/090013.html
90014, Fundamentals of Qualitative Research,https://handbook.uts.edu.au/subjects/details/090014.html
90015, Global Health Systems,https://handbook.uts.edu.au/subjects/details/090015.html
90016, Health Promotion,https://handbook.uts.edu.au/subjects/details/090016.html
90017, Indigenous Public Health,https://handbook.uts.edu.au/subjects/details/090017.html
90018, Non-communicable Disease,https://handbook.uts.edu.au/subjects/details/090018.html
90019, Planetary Health,https://handbook.uts.edu.au/subjects/details/090019.html
90020, Social Perspectives in Public Health,https://handbook.uts.edu.au/subjects/details/090020.html
90021, Advanced Biostatistics,https://handbook.uts.edu.au/subjects/details/090021.html
